Action,Date,Ad Title/Id,Page/App
Impression,2026/01/21,1029782536,Cambridge Dictionaries Online MWeb
Impression,2026/01/22,1020411566,merriam-webster.com
Impression,2026/01/22,1048382876,merriam-webster.com
Impression,2026/01/22,1103111483,merriam-webster.com
Impression,2026/01/22,835768806,merriam-webster.com
Impression,2026/01/22,838087316,merriam-webster.com
Impression,2026/01/23,838117266,Cambridge Dictionaries Online MWeb
Impression,2026/02/13,1019412516,slideshare.net
Impression,2026/02/13,1071678114,slideshare.net
Impression,2026/02/13,1136083124,slideshare.net
Impression,2026/02/13,1136884084,slideshare.net
Impression,2026/02/13,1140480034,slideshare.net
Impression,2026/02/13,1154311216,slideshare.net
Impression,2026/02/13,652368103,slideshare.net
Impression,2026/02/13,744077046,slideshare.net
Impression,2026/02/13,802458826,slideshare.net
Impression,2026/06/04,1188094343,reuters.com
Impression,2026/06/04,1380993766,reuters.com
Impression,2026/06/04,1409209566,reuters.com
Impression,2026/06/04,1412643326,reuters.com
Impression,2026/06/04,1415867456,reuters.com
